wind ,Efficiency,VarOM,FixOM,CAPEX,Life,capacity,period,W1,W2,W3,W4,W5,W6
,,,,,,,129,0.1015845,0.029852,0.070941417,0.009164692,0.074244,0.234828881
,,,,,,,130,0.101724659,0.029852,0.070941417,0.009164692,0.074244,0.246865704
,,,,,,,131,0.101864818,0.0424865,0.068148583,0.014812192,0.065184,0.241402888
,,,,,,,132,0.101738068,0.0424865,0.068148583,0.014812192,0.065184,0.235944404
,,,,,,,133,0.101611318,0.0507025,0.0660515,0.023101423,0.057488,0.226631047
,,,,,,,134,0.103105,0.0507025,0.0660515,0.023101423,0.057488,0.217320578
,,,,,,,135,0.104598682,0.0562725,0.061050833,0.031755,0.051952,0.21041444
,,,,,,,136,0.106188818,0.0562725,0.061050833,0.031755,0.051952,0.203511913
,,,,,,,137,0.107778955,0.08467875,0.05083875,0.0288635,0.043704,0.196766787
,,,,,,,138,0.110845523,0.08467875,0.05083875,0.0288635,0.043704,0.190025271
,,,,,,,139,0.113912091,0.09151,0.041429,0.027995962,0.0345942,0.180392058
,,,,,,,140,0.1175895,0.09151,0.041429,0.027995962,0.0345942,0.170761733
,,,,,,,141,0.121266909,0.10445025,0.033095167,0.029011385,0.0272368,0.161771119
,,,,,,,142,0.119658545,0.10445025,0.033095167,0.029011385,0.0272368,0.152782671
,,,,,,,143,0.118050182,0.122294,0.026196667,0.035207615,0.0229928,0.147644043
,,,,,,,144,0.1217195,0.122294,0.026196667,0.035207615,0.0229928,0.142507581
,,,,,,,145,0.125388818,0.138066,0.019993417,0.042710538,0.0217156,0.160799278
,,,,,,,146,0.126356864,0.138066,0.019993417,0.042710538,0.0217156,0.153737184
,,,,,,,147,0.127324909,0.1503275,0.016480417,0.051802846,0.0199292,0.150846209
,,,,,,,148,0.123207545,0.1503275,0.016480417,0.051802846,0.0199292,0.147956679
,,,,,,,149,0.119090182,0.15694125,0.014740583,0.063786846,0.0197092,0.147311191
,,,,,,,150,0.123535045,0.15694125,0.014740583,0.063786846,0.0197092,0.146668592
,,,,,,,151,0.127979909,0.17929,0.013864917,0.078766692,0.0243316,0.146345126
,,,,,,,152,0.127884955,0.17929,0.013864917,0.078766692,0.0243316,0.146023105
,,,,,,,153,0.12779,0.2197525,0.012978833,0.099017308,0.034797,0.145859928
,,,,,,,154,0.129217818,0.2197525,0.012978833,0.099017308,0.034797,0.145698917
,,,,,,,155,0.130645636,0.26793375,0.012911333,0.123620769,0.056279,0.146979061
,,,,,,,156,0.132480841,0.26793375,0.012911333,0.123620769,0.056279,0.148262094
,,,,,,,157,0.134316045,0.331535,0.01328775,0.149625769,0.083496,0.150666426
,,,,,,,158,0.1349965,0.331535,0.01328775,0.149625769,0.083496,0.153072202
,,,,,,,159,0.135676955,0.340175,0.014389917,0.163500385,0.11052,0.157722022
,,,,,,,160,0.132933159,0.340175,0.014389917,0.163500385,0.11052,0.162374007
,,,,,,,161,0.130189364,0.31508125,0.01532075,0.162239231,0.122237,0.168628159
,,,,,,,162,0.131994932,0.31508125,0.01532075,0.162239231,0.122237,0.174884477
,,,,,,,163,0.1338005,0.2759475,0.017989083,0.157353462,0.130672,0.181137906
,,,,,,,164,0.140128523,0.2759475,0.017989083,0.157353462,0.130672,0.187394224
,,,,,,,165,0.146456545,0.23754125,0.030803417,0.143578462,0.13754,0.197819495
,,,,,,,166,0.152332523,0.23754125,0.030803417,0.143578462,0.13754,0.208246209
,,,,,,,167,0.1582085,0.208265,0.046406917,0.127051923,0.142926,0.226371119
,,,,,,,168,0.170725068,0.208265,0.046406917,0.127051923,0.142926,0.244498195
,,,,,,,169,0.183241636,0.173605,0.057566333,0.123082692,0.1481616,0.251713357
,,,,,,,170,0.182112455,0.173605,0.057566333,0.123082692,0.1481616,0.258930686
,,,,,,,171,0.180983273,0.1517615,0.070680583,0.121017308,0.1528816,0.258605054
,,,,,,,172,0.172169955,0.1517615,0.070680583,0.121017308,0.1528816,0.25828231
,,,,,,,173,0.163356636,0.151023,0.077091,0.118901538,0.1568152,0.260683755
,,,,,,,174,0.164766955,0.151023,0.077091,0.118901538,0.1568152,0.263088087
,,,,,,,175,0.166177273,0.147905,0.080568917,0.121074231,0.1589504,0.2614787
,,,,,,,176,0.170393318,0.147905,0.080568917,0.121074231,0.1589504,0.259872924
,,,,,,,177,0.174609364,0.1545575,0.0857855,0.123497308,0.1612048,0.264680144
,,,,,,,178,0.196480773,0.1545575,0.0857855,0.123497308,0.1612048,0.269490975
,,,,,,,179,0.218352182,0.16570125,0.099999167,0.122946923,0.1635728,0.276543682
,,,,,,,180,0.238844409,0.16570125,0.099999167,0.122946923,0.1635728,0.2836
,,,,,,,181,0.259336636,0.18621625,0.112780833,0.121667308,0.1655776,0.280386282
,,,,,,,182,0.263438136,0.18621625,0.112780833,0.121667308,0.1655776,0.277176173
,,,,,,,183,0.267539636,0.19019625,0.123498333,0.125345385,0.1664936,0.278454152
,,,,,,,184,0.259057818,0.19019625,0.123498333,0.125345385,0.1664936,0.27973574
,,,,,,,185,0.250576,0.17998625,0.14130375,0.130320615,0.165354,0.283419495
,,,,,,,186,0.238710455,0.17998625,0.14130375,0.130320615,0.165354,0.287106859
,,,,,,,187,0.226844909,0.16984,0.161840417,0.135324462,0.163742,0.291751625
,,,,,,,188,0.216509955,0.16984,0.161840417,0.135324462,0.163742,0.296401444
,,,,,,,189,0.206175,0.1591425,0.186207417,0.141857923,0.161326,0.299924188
,,,,,,,190,0.199519455,0.1591425,0.186207417,0.141857923,0.161326,0.303451264
,,,,,,,191,0.192863909,0.152805,0.207552167,0.149051538,0.158362,0.308256318
,,,,,,,192,0.191552864,0.152805,0.207552167,0.149051538,0.158362,0.313066426
,,,,,,,193,0.190241818,0.14864375,0.235952083,0.155140154,0.154018,0.300710469
,,,,,,,194,0.188456591,0.14864375,0.235952083,0.155140154,0.154018,0.301831769
,,,,,,,195,0.186671364,0.13969625,0.236719167,0.148655385,0.142042,0.302467148
,,,,,,,196,0.182749591,0.13969625,0.236719167,0.148655385,0.142042,0.303106859
,,,,,,,197,0.178827818,0.1291475,0.212359583,0.138238077,0.128194,0.303422383
,,,,,,,198,0.178582227,0.1291475,0.212359583,0.138238077,0.128194,0.303740794
,,,,,,,199,0.178336636,0.1192325,0.176419583,0.128289385,0.11701,0.302932852
,,,,,,,200,0.178752455,0.1192325,0.176419583,0.128289385,0.11701,0.302129242
,,,,,,,201,0.179168273,0.1116275,0.141240417,0.122781923,0.110112,0.305009386
,,,,,,,202,0.184557273,0.1116275,0.141240417,0.122781923,0.110112,0.307893863
,,,,,,,203,0.189946273,0.107885,0.127399167,0.118503462,0.10612,0.313340072
,,,,,,,204,0.192933136,0.107885,0.127399167,0.118503462,0.10612,0.318790614
,,,,,,,205,0.19592,0.10479625,0.12608625,0.116539,0.104815,0.324397112
,,,,,,,206,0.213285455,0.10479625,0.12608625,0.116539,0.104815,0.33000722
,,,,,,,207,0.230650909,0.08533,0.124558333,0.112926154,0.103887,0.332245487
,,,,,,,208,0.252862136,0.08533,0.124558333,0.112926154,0.103887,0.334488087
,,,,,,,209,0.275073364,0.05408625,0.135628333,0.103179615,0.107478,0.336405776
,,,,,,,210,0.297409364,0.05408625,0.135628333,0.103179615,0.107478,0.338327798
,,,,,,,211,0.319745364,0.037229,0.153045417,0.091837692,0.11032,0.336557401
,,,,,,,212,0.331869364,0.037229,0.153045417,0.091837692,0.11032,0.334792058
,,,,,,,213,0.343993364,0.0280035,0.17426875,0.083479231,0.128436,0.33173935
,,,,,,,214,0.344524273,0.0280035,0.17426875,0.083479231,0.128436,0.328690253
,,,,,,,215,0.345055182,0.035219,0.201665,0.074909615,0.14447,0.329005054
,,,,,,,216,0.349016045,0.035219,0.201665,0.074909615,0.14447,0.329323466
,,,,,,,217,0.352976909,0.04596875,0.247895833,0.065258846,0.148387,0.33188231
,,,,,,,218,0.361932682,0.04596875,0.247895833,0.065258846,0.148387,0.334445487
,,,,,,,219,0.370888455,0.0555475,0.30442,0.053298462,0.150023,0.335240433
,,,,,,,220,0.383699045,0.0555475,0.30442,0.053298462,0.150023,0.336039711
,,,,,,,221,0.396509636,0.0619375,0.329890833,0.044577885,0.139042,0.340201444
,,,,,,,222,0.413015136,0.0619375,0.329890833,0.044577885,0.139042,0.344367509
,,,,,,,223,0.429520636,0.0701665,0.36321875,0.0376825,0.133342,0.342757401
,,,,,,,224,0.444536273,0.0701665,0.36321875,0.0376825,0.133342,0.341152347
,,,,,,,225,0.459551909,0.0771875,0.383935,0.029831538,0.132716,0.348359567
,,,,,,,226,0.4709565,0.0771875,0.383935,0.029831538,0.132716,0.355571841
,,,,,,,227,0.482361091,0.0897055,0.392374583,0.025325538,0.13265,0.366145126
,,,,,,,228,0.492169545,0.0897055,0.392374583,0.025325538,0.13265,0.376723466
,,,,,,,229,0.501978,0.105465,0.4125625,0.022227538,0.137448,0.38441083
,,,,,,,230,0.503036636,0.105465,0.4125625,0.022227538,0.137448,0.392102527
,,,,,,,231,0.504095273,0.12859825,0.41256875,0.018467231,0.154947,0.398186282
,,,,,,,232,0.499633182,0.12859825,0.41256875,0.018467231,0.154947,0.40427509
,,,,,,,233,0.495171091,0.14891125,0.391095833,0.014796769,0.168526,0.409075812
,,,,,,,234,0.490406273,0.14891125,0.391095833,0.014796769,0.168526,0.41388231
,,,,,,,235,0.485641455,0.171742,0.374009167,0.015244077,0.197776,0.415156679
,,,,,,,236,0.475605182,0.171742,0.374009167,0.015244077,0.197776,0.416436823
,,,,,,,237,0.465568909,0.213545,0.352761667,0.017100808,0.198901,0.417711191
,,,,,,,238,0.450791955,0.213545,0.352761667,0.017100808,0.198901,0.418990614
,,,,,,,239,0.436015,0.25655125,0.335,0.021827,0.232862,0.422668592
,,,,,,,240,0.419911682,0.25655125,0.335,0.021827,0.232862,0.426352347
,,,,,,,241,0.403808364,0.3236125,0.3174125,0.0260395,0.258708,0.429710469
,,,,,,,242,0.384723591,0.3236125,0.3174125,0.0260395,0.258708,0.433393502
,,,,,,,243,0.365638818,0.3852325,0.309350833,0.028890615,0.273476,0.435629603
,,,,,,,244,0.344830591,0.3852325,0.309350833,0.028890615,0.273476,0.437870036
,,,,,,,245,0.324022364,0.564795,0.30419875,0.028270385,0.253281,0.443952347
,,,,,,,246,0.308741636,0.564795,0.30419875,0.028270385,0.253281,0.450039711
,,,,,,,247,0.293460909,0.6500225,0.31029,0.027869769,0.238575,0.464134296
,,,,,,,248,0.281575409,0.6500225,0.31029,0.027869769,0.238575,0.478234657
,,,,,,,249,0.269689909,0.72209625,0.309575,0.031559308,0.225008,0.480950181
,,,,,,,250,0.256016091,0.72209625,0.309575,0.031559308,0.225008,0.48367148
,,,,,,,251,0.242342273,0.81214375,0.31057875,0.040365462,0.213015,0.486065704
,,,,,,,252,0.232039864,0.81214375,0.31057875,0.040365462,0.213015,0.488466426
,,,,,,,253,0.221737455,0.85469875,0.3135275,0.067069308,0.192646,0.489418773
,,,,,,,254,0.212565136,0.85469875,0.3135275,0.067069308,0.192646,0.490376895
,,,,,,,255,0.203392818,0.8706625,0.319551667,0.120598615,0.180162,0.498059928
,,,,,,,256,0.193067636,0.8706625,0.319551667,0.120598615,0.180162,0.505748736
,,,,,,,257,0.182742455,0.8627525,0.3241375,0.198616385,0.156362,0.508623105
,,,,,,,258,0.175252909,0.8627525,0.3241375,0.198616385,0.156362,0.511503971
,,,,,,,259,0.167763364,0.83695125,0.324385833,0.291331615,0.133468,0.518384838
,,,,,,,260,0.159698545,0.83695125,0.324385833,0.291331615,0.133468,0.525272202
,,,,,,,261,0.151633727,0.76972375,0.319673333,0.345299154,0.108864,0.525742238
,,,,,,,262,0.142910136,0.76972375,0.319673333,0.345299154,0.108864,0.526219495
,,,,,,,263,0.134186545,0.76582625,0.310873333,0.387072846,0.09073,0.517236823
,,,,,,,264,0.131057955,0.76582625,0.310873333,0.387072846,0.09073,0.508259928
,,,,,,,265,0.127929364,0.74313875,0.314189167,0.441058077,0.07902,0.5012
,,,,,,,266,0.126331205,0.74313875,0.314189167,0.441058077,0.07902,0.49414657
,,,,,,,267,0.124733045,0.70732625,0.303817083,0.447859077,0.0656556,0.484844043
